,agency,agency_url
0,Alameda County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/253/Alameda_County_Sheriff
1,Alameda Police,https://www.localcrimenews.com/welcome/agencyarrests/3/Alameda_Police
2,Alhambra Police,https://www.localcrimenews.com/welcome/agencyarrests/5/Alhambra_Police
3,Alpine County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/254/Alpine_County_Sheriff
4,Altadena CHP,https://www.localcrimenews.com/welcome/agencyarrests/286/Altadena_CHP
5,Altadena Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/328/Altadena_Sheriff_Substation
6,Alturas CHP,https://www.localcrimenews.com/welcome/agencyarrests/595/Alturas_CHP
7,Amador CHP,https://www.localcrimenews.com/welcome/agencyarrests/610/Amador_CHP
8,Amador County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/255/Amador_County_Sheriff
9,American Canyon Police,https://www.localcrimenews.com/welcome/agencyarrests/249/American_Canyon_Police
10,Anaheim Police,https://www.localcrimenews.com/welcome/agencyarrests/8/Anaheim_Police
11,Antelope Valley CHP,https://www.localcrimenews.com/welcome/agencyarrests/414/Antelope_Valley_CHP
12,Antioch Police,https://www.localcrimenews.com/welcome/agencyarrests/11/Antioch_Police
13,Arcadia Police,https://www.localcrimenews.com/welcome/agencyarrests/13/Arcadia_Police
14,Arrowhead CHP,https://www.localcrimenews.com/welcome/agencyarrests/259/Arrowhead_CHP
15,Arroyo Grande Police,https://www.localcrimenews.com/welcome/agencyarrests/15/Arroyo_Grande_Police
16,Atascadero Police,https://www.localcrimenews.com/welcome/agencyarrests/18/Atascadero_Police
17,Auburn CHP,https://www.localcrimenews.com/welcome/agencyarrests/598/Auburn_CHP
18,Avalon Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/22/Avalon_Sheriff_Substation
19,Azusa Police,https://www.localcrimenews.com/welcome/agencyarrests/23/Azusa_Police
20,Bakersfield CHP,https://www.localcrimenews.com/welcome/agencyarrests/124/Bakersfield_CHP
21,Bakersfield Police,https://www.localcrimenews.com/welcome/agencyarrests/24/Bakersfield_Police
22,Baldwin Park CHP,https://www.localcrimenews.com/welcome/agencyarrests/485/Baldwin_Park_CHP
23,Baldwin Park Police,https://www.localcrimenews.com/welcome/agencyarrests/25/Baldwin_Park_Police
24,Banning Police,https://www.localcrimenews.com/welcome/agencyarrests/676/Banning_Police
25,Barstow CHP,https://www.localcrimenews.com/welcome/agencyarrests/211/Barstow_CHP
26,BART Police,https://www.localcrimenews.com/welcome/agencyarrests/758/BART_Police
27,Beaumont Police,https://www.localcrimenews.com/welcome/agencyarrests/677/Beaumont_Police
28,Bell Gardens Police,https://www.localcrimenews.com/welcome/agencyarrests/32/Bell_Gardens_Police
29,Bell Police,https://www.localcrimenews.com/welcome/agencyarrests/30/Bell_Police
30,Benicia Police,https://www.localcrimenews.com/welcome/agencyarrests/35/Benicia_Police
31,Berkeley - UC Police,https://www.localcrimenews.com/welcome/agencyarrests/36/Berkeley_-_UC_Police
32,Berkeley PD Police,https://www.localcrimenews.com/welcome/agencyarrests/2130/Berkeley_PD_Police
33,Beverly Hills Police,https://www.localcrimenews.com/welcome/agencyarrests/82/Beverly_Hills_Police
34,Bishop CHP,https://www.localcrimenews.com/welcome/agencyarrests/313/Bishop_CHP
35,Blythe CHP,https://www.localcrimenews.com/welcome/agencyarrests/296/Blythe_CHP
36,Brea Police,https://www.localcrimenews.com/welcome/agencyarrests/561/Brea_Police
37,Bridgeport CHP,https://www.localcrimenews.com/welcome/agencyarrests/312/Bridgeport_CHP
38,Buellton CHP,https://www.localcrimenews.com/welcome/agencyarrests/309/Buellton_CHP
39,Buena Park Police,https://www.localcrimenews.com/welcome/agencyarrests/40/Buena_Park_Police
40,Burbank Police,https://www.localcrimenews.com/welcome/agencyarrests/41/Burbank_Police
41,Butte County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/256/Butte_County_Sheriff
42,Buttonwillow CHP,https://www.localcrimenews.com/welcome/agencyarrests/564/Buttonwillow_CHP
43,CA Dept. Of Alcoholic Beverage Control,https://www.localcrimenews.com/welcome/agencyarrests/2121/CA_Dept._Of_Alcoholic_Beverage_Control
44,Cal State Chico Police,https://www.localcrimenews.com/welcome/agencyarrests/2067/Cal_State_Chico_Police
45,Calaveras County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/611/Calaveras_County_Sheriff
46,Calistoga Police,https://www.localcrimenews.com/welcome/agencyarrests/48/Calistoga_Police
47,Campbell Police,https://www.localcrimenews.com/welcome/agencyarrests/49/Campbell_Police
48,Campus Parks Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/2039/Campus_Parks_Sheriff_Substation
49,Capistrano CHP,https://www.localcrimenews.com/welcome/agencyarrests/168/Capistrano_CHP
50,Capitola Police,https://www.localcrimenews.com/welcome/agencyarrests/51/Capitola_Police
51,Carlsbad Police,https://www.localcrimenews.com/welcome/agencyarrests/52/Carlsbad_Police
52,Carmel Police,https://www.localcrimenews.com/welcome/agencyarrests/53/Carmel_Police
53,Carson Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/55/Carson_Sheriff_Substation
54,Cathedral City Police,https://www.localcrimenews.com/welcome/agencyarrests/678/Cathedral_City_Police
55,Central Los Angeles CHP,https://www.localcrimenews.com/welcome/agencyarrests/484/Central_Los_Angeles_CHP
56,Century Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/272/Century_Sheriff_Substation
57,Cerritos Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/367/Cerritos_Sheriff_Substation
58,Chico CHP,https://www.localcrimenews.com/welcome/agencyarrests/602/Chico_CHP
59,Chico Police,https://www.localcrimenews.com/welcome/agencyarrests/59/Chico_Police
60,Chino Police,https://www.localcrimenews.com/welcome/agencyarrests/61/Chino_Police
61,Chowchilla Police,https://www.localcrimenews.com/welcome/agencyarrests/62/Chowchilla_Police
62,chp state capitol division CHP,https://www.localcrimenews.com/welcome/agencyarrests/2136/chp_state_capitol_division_CHP
63,Chula Vista Police,https://www.localcrimenews.com/welcome/agencyarrests/63/Chula_Vista_Police
64,Citrus Heights Police,https://www.localcrimenews.com/welcome/agencyarrests/671/Citrus_Heights_Police
65,Claremont Police,https://www.localcrimenews.com/welcome/agencyarrests/64/Claremont_Police
66,Clayton Police,https://www.localcrimenews.com/welcome/agencyarrests/107/Clayton_Police
67,Clear Lake CHP,https://www.localcrimenews.com/welcome/agencyarrests/591/Clear_Lake_CHP
68,Cloverdale Police,https://www.localcrimenews.com/welcome/agencyarrests/2112/Cloverdale_Police
69,Clovis Police,https://www.localcrimenews.com/welcome/agencyarrests/67/Clovis_Police
70,Coalinga CHP,https://www.localcrimenews.com/welcome/agencyarrests/483/Coalinga_CHP
71,Colma Police,https://www.localcrimenews.com/welcome/agencyarrests/71/Colma_Police
72,Colton Police,https://www.localcrimenews.com/welcome/agencyarrests/72/Colton_Police
73,Colusa County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/612/Colusa_County_Sheriff
74,Compton Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/74/Compton_Sheriff_Substation
75,Concord Police,https://www.localcrimenews.com/welcome/agencyarrests/75/Concord_Police
76,Contra Costa CHP,https://www.localcrimenews.com/welcome/agencyarrests/101/Contra_Costa_CHP
77,Contra Costa County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/613/Contra_Costa_County_Sheriff
78,Corona Police,https://www.localcrimenews.com/welcome/agencyarrests/78/Corona_Police
79,Coronado Police,https://www.localcrimenews.com/welcome/agencyarrests/79/Coronado_Police
80,Costa Mesa Police,https://www.localcrimenews.com/welcome/agencyarrests/81/Costa_Mesa_Police
81,Cotati Police,https://www.localcrimenews.com/welcome/agencyarrests/91/Cotati_Police
82,Covina Police,https://www.localcrimenews.com/welcome/agencyarrests/443/Covina_Police
83,Crescent City CHP,https://www.localcrimenews.com/welcome/agencyarrests/229/Crescent_City_CHP
84,Crescenta Valley Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/271/Crescenta_Valley_Sheriff_Substation
85,Culver City Police,https://www.localcrimenews.com/welcome/agencyarrests/330/Culver_City_Police
86,Cypress Police,https://www.localcrimenews.com/welcome/agencyarrests/556/Cypress_Police
87,Daly City Police,https://www.localcrimenews.com/welcome/agencyarrests/557/Daly_City_Police
88,Davis Police,https://www.localcrimenews.com/welcome/agencyarrests/136/Davis_Police
89,Del Norte County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/2102/Del_Norte_County_Sheriff
90,Delano Police,https://www.localcrimenews.com/welcome/agencyarrests/137/Delano_Police
91,Desert Hot Springs Police,https://www.localcrimenews.com/welcome/agencyarrests/761/Desert_Hot_Springs_Police
92,Dinuba Police,https://www.localcrimenews.com/welcome/agencyarrests/334/Dinuba_Police
93,Dixon Police,https://www.localcrimenews.com/welcome/agencyarrests/335/Dixon_Police
94,Downey Police,https://www.localcrimenews.com/welcome/agencyarrests/126/Downey_Police
95,Dublin CHP,https://www.localcrimenews.com/welcome/agencyarrests/122/Dublin_CHP
96,Dublin Police,https://www.localcrimenews.com/welcome/agencyarrests/110/Dublin_Police
97,East Los Angeles CHP,https://www.localcrimenews.com/welcome/agencyarrests/487/East_Los_Angeles_CHP
98,East Los Angeles Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/445/East_Los_Angeles_Sheriff_Substation
99,East Palo Alto Police,https://www.localcrimenews.com/welcome/agencyarrests/112/East_Palo_Alto_Police
100,El Cajon CHP,https://www.localcrimenews.com/welcome/agencyarrests/299/El_Cajon_CHP
101,El Cajon Police,https://www.localcrimenews.com/welcome/agencyarrests/113/El_Cajon_Police
102,El Centro CHP,https://www.localcrimenews.com/welcome/agencyarrests/290/El_Centro_CHP
103,El Cerrito Police,https://www.localcrimenews.com/welcome/agencyarrests/673/El_Cerrito_Police
104,El Dorado County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/615/El_Dorado_County_Sheriff
105,El Monte Police,https://www.localcrimenews.com/welcome/agencyarrests/115/El_Monte_Police
106,El Segundo Police,https://www.localcrimenews.com/welcome/agencyarrests/116/El_Segundo_Police
107,Emeryville Police,https://www.localcrimenews.com/welcome/agencyarrests/117/Emeryville_Police
108,Escondido Police,https://www.localcrimenews.com/welcome/agencyarrests/491/Escondido_Police
109,Fairfield Police,https://www.localcrimenews.com/welcome/agencyarrests/496/Fairfield_Police
110,Folsom Police,https://www.localcrimenews.com/welcome/agencyarrests/502/Folsom_Police
111,Fontana Police,https://www.localcrimenews.com/welcome/agencyarrests/503/Fontana_Police
112,Fort Tejon CHP,https://www.localcrimenews.com/welcome/agencyarrests/565/Fort_Tejon_CHP
113,Fountain Valley Police,https://www.localcrimenews.com/welcome/agencyarrests/508/Fountain_Valley_Police
114,Fremont Police,https://www.localcrimenews.com/welcome/agencyarrests/2030/Fremont_Police
115,Fresno CHP,https://www.localcrimenews.com/welcome/agencyarrests/566/Fresno_CHP
116,Fresno County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/616/Fresno_County_Sheriff
117,Fresno Police,https://www.localcrimenews.com/welcome/agencyarrests/512/Fresno_Police
118,Fullerton Police,https://www.localcrimenews.com/welcome/agencyarrests/513/Fullerton_Police
119,Galt Police,https://www.localcrimenews.com/welcome/agencyarrests/514/Galt_Police
120,Garberville CHP,https://www.localcrimenews.com/welcome/agencyarrests/231/Garberville_CHP
121,Garden Grove Police,https://www.localcrimenews.com/welcome/agencyarrests/516/Garden_Grove_Police
122,Gardena Police,https://www.localcrimenews.com/welcome/agencyarrests/515/Gardena_Police
123,Gilroy Police,https://www.localcrimenews.com/welcome/agencyarrests/517/Gilroy_Police
124,Glendale Police,https://www.localcrimenews.com/welcome/agencyarrests/560/Glendale_Police
125,Glendora Police,https://www.localcrimenews.com/welcome/agencyarrests/518/Glendora_Police
126,Glenn County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/617/Glenn_County_Sheriff
127,Gold Run CHP,https://www.localcrimenews.com/welcome/agencyarrests/662/Gold_Run_CHP
128,Grass Valley CHP,https://www.localcrimenews.com/welcome/agencyarrests/600/Grass_Valley_CHP
129,Grass Valley Police,https://www.localcrimenews.com/welcome/agencyarrests/522/Grass_Valley_Police
130,Gridley Police,https://www.localcrimenews.com/welcome/agencyarrests/337/Gridley_Police
131,Grover Beach Police,https://www.localcrimenews.com/welcome/agencyarrests/338/Grover_Beach_Police
132,Hanford CHP,https://www.localcrimenews.com/welcome/agencyarrests/567/Hanford_CHP
133,Hawthorne Police,https://www.localcrimenews.com/welcome/agencyarrests/141/Hawthorne_Police
134,Hayward CHP,https://www.localcrimenews.com/welcome/agencyarrests/106/Hayward_CHP
135,Hayward Police,https://www.localcrimenews.com/welcome/agencyarrests/142/Hayward_Police
136,Healdsburg Police,https://www.localcrimenews.com/welcome/agencyarrests/143/Healdsburg_Police
137,Hemet Police,https://www.localcrimenews.com/welcome/agencyarrests/144/Hemet_Police
138,Hermosa Beach Police,https://www.localcrimenews.com/welcome/agencyarrests/155/Hermosa_Beach_Police
139,Hollister-Gilroy CHP,https://www.localcrimenews.com/welcome/agencyarrests/170/Hollister-Gilroy_CHP
140,Humboldt CHP,https://www.localcrimenews.com/welcome/agencyarrests/230/Humboldt_CHP
141,Humboldt County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/618/Humboldt_County_Sheriff
142,Huntington Beach Police,https://www.localcrimenews.com/welcome/agencyarrests/162/Huntington_Beach_Police
143,Huntington Park Police,https://www.localcrimenews.com/welcome/agencyarrests/341/Huntington_Park_Police
144,Imperial County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/2095/Imperial_County_Sheriff
145,Indio CHP,https://www.localcrimenews.com/welcome/agencyarrests/291/Indio_CHP
146,Indio Police,https://www.localcrimenews.com/welcome/agencyarrests/679/Indio_Police
147,Industry Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/128/Industry_Sheriff_Substation
148,Inglewood Police,https://www.localcrimenews.com/welcome/agencyarrests/129/Inglewood_Police
149,Inyo County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/239/Inyo_County_Sheriff
150,Irvine Police,https://www.localcrimenews.com/welcome/agencyarrests/131/Irvine_Police
151,Irwindale Police,https://www.localcrimenews.com/welcome/agencyarrests/132/Irwindale_Police
152,Kern County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/620/Kern_County_Sheriff
153,King City CHP,https://www.localcrimenews.com/welcome/agencyarrests/305/King_City_CHP
154,Kings County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/621/Kings_County_Sheriff
155,Kingsburg Police,https://www.localcrimenews.com/welcome/agencyarrests/398/Kingsburg_Police
156,La Habra Police,https://www.localcrimenews.com/welcome/agencyarrests/402/La_Habra_Police
157,La Mesa Police,https://www.localcrimenews.com/welcome/agencyarrests/408/La_Mesa_Police
158,La Verne Police,https://www.localcrimenews.com/welcome/agencyarrests/149/La_Verne_Police
159,Lake County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/622/Lake_County_Sheriff
160,Lakewood Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/58/Lakewood_Sheriff_Substation
161,Lancaster Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/147/Lancaster_Sheriff_Substation
162,Lassen County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/623/Lassen_County_Sheriff
163,Lennox Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/150/Lennox_Sheriff_Substation
164,Livermore Police,https://www.localcrimenews.com/welcome/agencyarrests/198/Livermore_Police
165,Lomita Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/202/Lomita_Sheriff_Substation
166,Lompoc Police,https://www.localcrimenews.com/welcome/agencyarrests/203/Lompoc_Police
167,Long Beach Police,https://www.localcrimenews.com/welcome/agencyarrests/204/Long_Beach_Police
168,Los Altos Police,https://www.localcrimenews.com/welcome/agencyarrests/207/Los_Altos_Police
169,Los Angeles County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/467/Los_Angeles_County_Sheriff
170,Los Angeles Police,https://www.localcrimenews.com/welcome/agencyarrests/460/Los_Angeles_Police
171,Los Banos CHP,https://www.localcrimenews.com/welcome/agencyarrests/314/Los_Banos_CHP
172,Los Gatos - Monte Sereno Police,https://www.localcrimenews.com/welcome/agencyarrests/462/Los_Gatos_-_Monte_Sereno_Police
173,Madera CHP,https://www.localcrimenews.com/welcome/agencyarrests/568/Madera_CHP
174,Madera County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/468/Madera_County_Sheriff
175,Madera Police,https://www.localcrimenews.com/welcome/agencyarrests/466/Madera_Police
176,Malibu - Lost Hills Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/464/Malibu_-_Lost_Hills_Sheriff_Substation
177,Manhattan Beach Police,https://www.localcrimenews.com/welcome/agencyarrests/346/Manhattan_Beach_Police
178,Marin CHP,https://www.localcrimenews.com/welcome/agencyarrests/108/Marin_CHP
179,Marin County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/469/Marin_County_Sheriff
180,Marina Del Rey Sheriff Substation,https://www.localcrimenews.com/welcome/agencyarrests/270/Marina_Del_Rey_Sheriff_Substation
181,Marina Police,https://www.localcrimenews.com/welcome/agencyarrests/324/Marina_Police
182,Mariposa CHP,https://www.localcrimenews.com/welcome/agencyarrests/569/Mariposa_CHP
183,Mariposa County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/470/Mariposa_County_Sheriff
184,Martinez Police,https://www.localcrimenews.com/welcome/agencyarrests/325/Martinez_Police
185,Mendocino County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/471/Mendocino_County_Sheriff
186,Menlo Park Police,https://www.localcrimenews.com/welcome/agencyarrests/357/Menlo_Park_Police
187,Merced CHP,https://www.localcrimenews.com/welcome/agencyarrests/570/Merced_CHP
188,Merced County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/216/Merced_County_Sheriff
189,Merced Police,https://www.localcrimenews.com/welcome/agencyarrests/358/Merced_Police
190,Milpitas Police,https://www.localcrimenews.com/welcome/agencyarrests/361/Milpitas_Police
191,Modesto CHP,https://www.localcrimenews.com/welcome/agencyarrests/315/Modesto_CHP
192,Modesto Police,https://www.localcrimenews.com/welcome/agencyarrests/362/Modesto_Police
193,Modoc County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/217/Modoc_County_Sheriff
194,Mojave CHP,https://www.localcrimenews.com/welcome/agencyarrests/209/Mojave_CHP
195,Mono County Sheriff,https://www.localcrimenews.com/welcome/agencyarrests/2041/Mono_County_Sheriff
196,Monrovia Police,https://www.localcrimenews.com/welcome/agencyarrests/364/Monrovia_Police
197,Montclair Police,https://www.localcrimenews.com/welcome/agencyarrests/366/Montclair_Police
